Incident-Exp#,Alarm Date,Alarm Time,Location and Incident type
17-0001363-000,03/08/2017,21:11:51,N Mattis AVE CH/Cham 131 Passenger vehicle fire
20-0006317-000,10/02/2020,08:04:29,"N Mattis AVE CH/Dair 140 Natural vegetation fire, Oth"
20-0005204-000,08/18/2020,13:36:47,S Mattis AVE CH/Champ 131 Passenger vehicle fire
16-0007036-000,11/23/2016,16:57:07,S Mattis AVE CH/Champ 131 Passenger vehicle fire
19-0004854-000,08/03/2019,17:35:18,"S Mattis AVE CH/Champ 140 Natural vegetation fire, Oth"
16-0007169-000,11/30/2016,16:45:31,S Mattis AVE CH/Champ 131 Passenger vehicle fire
19-0003092-000,05/15/2019,15:46:16,"S Mattis AVE CH 151 Outside rubbish, trash or wa"
20-0007197-000,11/06/2020,11:56:05,S Mattis AVE CH/Cham 131 Passenger vehicle fire
16-0002194-000,04/17/2016,12:49:30,"S Mattis AVE CH/Matt 140 Natural vegetation fire, Oth"
20-0002748-000,05/03/2020,14:49:49,"McDonald DR CH/Champ 151 Outside rubbish, trash or wa"
17-0003192-000,06/02/2017,10:51:24,"N McKinley AVE CH/At 151 Outside rubbish, trash or wa"
19-0006147-000,09/22/2019,13:27:40,Mercury DR CH/Fed Ex 155 Outside stationary compactor
18-0002821-000,04/30/2018,12:48:34,Mercury DR CH 142 Brush or brush-and-grass mix
18-0003199-000,05/14/2018,21:52:39,Mercury DR CH 142 Brush or brush-and-grass mix
17-0004590-000,08/06/2017,17:55:28,"Mittendorf DR CH 151 Outside rubbish, trash or wa"
18-0005900-000,09/15/2018,16:02:58,Moreland BLVD CH/Fai 131 Passenger vehicle fire
18-0002604-000,04/21/2018,13:23:23,Moreland BLVD CH/Cou 142 Brush or brush-and-grass mix
16-0005163-000,09/05/2016,18:31:54,Moreland BLVD CH/Bui 155 Outside stationary compactor
16-0003295-000,06/11/2016,21:00:51,Moreland BLVD CH/Nan 154 Dumpster or other outside tr
18-0002804-000,04/29/2018,14:54:46,"Mullikin DR CH/Champ 151 Outside rubbish, trash or wa"
19-0005728-000,09/07/2019,20:54:21,"Mullikin DR CH/Champ 151 Outside rubbish, trash or wa"
19-0008547-000,12/27/2019,14:34:15,Mullikin DR CH/Champ 131 Passenger vehicle fire
18-0001226-000,02/19/2018,08:03:35,Myrtle Beach AVE CH/ 131 Passenger vehicle fire
17-0002351-000,04/25/2017,14:25:06,"N Neil ST CH 140 Natural vegetation fire, Oth"
19-0006488-000,10/06/2019,08:50:39,N Neil ST CH/Orpheum 154 Dumpster or other outside tr
18-0008285-000,12/28/2018,11:04:33,N Neil ST CH/Circle K 131 Passenger vehicle fire
20-0001652-000,03/08/2020,18:54:30,N Neil ST CH/HAZEL P 143 Grass fire
19-0003062-000,05/14/2019,10:07:16,"N Neil ST CH/Bob Eva 140 Natural vegetation fire, Oth"
17-0003387-000,06/11/2017,11:27:31,"N Neil ST CH/(Starbu 140 Natural vegetation fire, Oth"
20-0005148-000,08/16/2020,09:45:43,N Neil ST CH 142 Brush or brush-and-grass mix
18-0004291-000,07/05/2018,07:38:05,N Neil ST CH/Town Ce 154 Dumpster or other outside tr
16-0006947-000,11/19/2016,16:43:46,N Neil ST CH/Town Ce 142 Brush or brush-and-grass mix
16-0002762-000,05/14/2016,18:36:39,N Neil ST CH/Town Ce 154 Dumpster or other outside tr
18-0001806-000,03/15/2018,18:31:12,"S Neil ST CH/First F 140 Natural vegetation fire, Oth"
19-0003659-000,06/10/2019,09:23:56,"S Neil ST CH 150 Outside rubbish fire, Other"
20-0007857-000,12/02/2020,12:12:03,S Neil ST CH/McDonal 131 Passenger vehicle fire
19-0006533-000,10/08/2019,12:32:55,S Neil ST CH/(Starbu 142 Brush or brush-and-grass mix
16-0002406-000,04/27/2016,17:13:50,S Neil ST CH/Moe's S 154 Dumpster or other outside tr
16-0006845-000,11/15/2016,15:18:25,S Neil ST CH/Brixx P 154 Dumpster or other outside tr
20-0001670-000,03/09/2020,12:38:56,S Neil ST CH/Suzi Da 142 Brush or brush-and-grass mix
19-0003608-000,06/07/2019,15:17:54,S Neil ST CH/Arby's 143 Grass fire
16-0003330-000,06/13/2016,12:14:57,S Neil ST CH/Arby's 131 Passenger vehicle fire
20-0003487-000,06/08/2020,08:21:36,"Newcastle DR CH/Champ 140 Natural vegetation fire, Oth"
16-0003395-000,06/16/2016,09:04:23,"Northwood North DR C 151 Outside rubbish, trash or wa"
17-0000283-000,01/12/2017,21:30:42,"Northwood South DR C 150 Outside rubbish fire, Other"
18-0003196-000,05/14/2018,21:02:55,S Oak ST CH 154 Dumpster or other outside tr
19-0003030-000,05/13/2019,03:53:44,"S Oak ST CH 150 Outside rubbish fire, Other"
20-0002998-000,05/16/2020,19:30:16,"S Oak ST CH 150 Outside rubbish fire, Other"
17-0007393-000,12/03/2017,14:35:22,Osage DR CH/Champaig 142 Brush or brush-and-grass mix
16-0000335-000,01/18/2016,17:56:49,Palmer DR CH/Champai 131 Passenger vehicle fire
20-0007017-000,10/30/2020,12:17:20,W Park AVE CH 154 Dumpster or other outside tr
20-0001997-000,03/25/2020,13:54:32,"Paula DR CH/Champaig 151 Outside rubbish, trash or wa"
16-0004004-000,07/14/2016,09:17:33,Peabody DR CH/E24-PEA 131 Passenger vehicle fire
17-0002791-000,05/15/2017,14:27:27,"Peabody DR CH/Activit 151 Outside rubbish, trash or wa"
20-0003336-000,05/31/2020,19:53:21,Peppermill LN CH/Cha 154 Dumpster or other outside tr
17-0004594-000,08/06/2017,23:48:55,"Phillips DR CH 151 Outside rubbish, trash or wa"
20-0004733-000,07/30/2020,11:56:04,Pomona DR CH/Tuscany 154 Dumpster or other outside tr
20-0004724-000,07/30/2020,01:57:34,Pomona DR CH/Tuscany 154 Dumpster or other outside tr
17-0003584-000,06/20/2017,14:14:07,"Pomona DR CH/Tuscany 151 Outside rubbish, trash or wa"
19-0003173-000,05/19/2019,18:57:28,"Powers LA CH/Champai 151 Outside rubbish, trash or wa"
16-0001580-000,03/17/2016,12:46:53,N Prairie ST CH 143 Grass fire
17-0002167-000,04/17/2017,22:04:31,"S Prairie ST CH 150 Outside rubbish fire, Other"
18-0005463-000,08/28/2018,10:02:45,"S Prairie ST CH 151 Outside rubbish, trash or wa"
20-0003410-000,06/04/2020,07:22:23,N Prospect AVE CH 131 Passenger vehicle fire
20-0002769-000,05/04/2020,14:59:25,N Prospect AVE CH/Ti 131 Passenger vehicle fire
20-0006181-000,09/26/2020,22:42:49,"N Prospect AVE CH 150 Outside rubbish fire, Other"
20-0002561-000,04/23/2020,21:56:32,N Prospect AVE CH/Pi 131 Passenger vehicle fire
16-0004754-000,08/18/2016,16:07:33,"N Prospect AVE CH/PR 151 Outside rubbish, trash or wa"
20-0006015-000,09/20/2020,09:58:31,N Prospect AVE CH/Re 143 Grass fire
17-0002759-000,05/14/2017,13:39:45,"N Prospect AVE CH/AT 150 Outside rubbish fire, Other"
16-0004578-000,08/10/2016,14:58:28,"N Prospect AVE CH 140 Natural vegetation fire, Oth"
16-0003254-000,06/09/2016,12:26:20,N Prospect AVE CH/Lo 142 Brush or brush-and-grass mix
20-0006386-000,10/05/2020,11:30:09,N Prospect AVE CH/Ga 154 Dumpster or other outside tr
20-0005235-000,08/19/2020,17:44:22,N Prospect AVE CH/Sa 143 Grass fire
19-0005942-000,09/15/2019,17:29:48,"N Prospect AVE CH/Ch 151 Outside rubbish, trash or wa"
17-0003681-000,06/25/2017,14:17:16,N Prospect AVE CH/Ch 142 Brush or brush-and-grass mix
18-0003720-000,06/08/2018,17:17:20,"N Prospect AVE CH 150 Outside rubbish fire, Other"
19-0004434-000,07/15/2019,14:58:33,N Prospect AVE CH/Ta 143 Grass fire
19-0004435-000,07/15/2019,16:42:29,N Prospect AVE CH/Ta 143 Grass fire
19-0005795-000,09/10/2019,14:29:34,N Prospect AVE CH 154 Dumpster or other outside tr
20-0005169-000,08/17/2020,02:45:03,N Prospect AVE CH 154 Dumpster or other outside tr
17-0002567-000,05/05/2017,17:11:05,"N Prospect AVE CH/Ch 150 Outside rubbish fire, Other"
19-0002775-000,05/02/2019,14:17:24,N Prospect AVE CH/Ch 131 Passenger vehicle fire
19-0004427-000,07/15/2019,11:35:12,"N Prospect AVE CH/Me 150 Outside rubbish fire, Other"
19-0004075-000,06/29/2019,15:15:37,N Prospect AVE CH/Ch 131 Passenger vehicle fire
17-0002324-000,04/24/2017,13:49:57,N Prospect AVE CH/Aa 153 Construction or demolition l
18-0001194-000,02/17/2018,17:32:03,N Prospect AVE CH/Wa 131 Passenger vehicle fire
18-0002968-000,05/05/2018,12:15:35,N Prospect AVE CH/Wa 131 Passenger vehicle fire
16-0005689-000,09/27/2016,16:38:09,N Prospect AVE CH/Ch 143 Grass fire
20-0001771-000,03/13/2020,17:13:12,"S Prospect AVE CH 150 Outside rubbish fire, Other"
19-0002537-000,04/22/2019,09:12:15,S Prospect AVE CH/Pr 130 Mobile property (vehicle) fi
17-0003527-000,06/17/2017,14:34:52,"S Prospect AVE CH/Ch 151 Outside rubbish, trash or wa"
19-0007717-000,11/21/2019,21:46:38,"N Randolph ST CH/Mich 151 Outside rubbish, trash or wa"
20-0005693-000,09/06/2020,20:07:58,N Randolph ST CH 154 Dumpster or other outside tr
17-0005871-000,09/30/2017,05:30:22,S Randolph ST CH 154 Dumpster or other outside tr
18-0001173-000,02/16/2018,17:11:46,Research RD CH/Champ 155 Outside stationary compactor
16-0006472-000,10/31/2016,18:31:11,N Ridgeway AVE 142 Brush or brush-and-grass mix
20-0005352-000,08/24/2020,07:07:42,Ridgewood CT CH/Cham 131 Passenger vehicle fire
20-0004089-000,07/04/2020,23:28:53,"Rising RD CH/PORTER 151 Outside rubbish, trash or wa"
17-0007734-000,12/17/2017,16:41:21,Robert DR CH/Champai 154 Dumpster or other outside tr
19-0005769-000,09/09/2019,18:58:33,Rosewood DR CH/Champ 131 Passenger vehicle fire
20-0001167-000,02/19/2020,06:21:29,"Rosewood DR CH/Champ 151 Outside rubbish, trash or wa"
20-0007086-000,11/02/2020,03:50:30,S Russell ST CH/Champ 142 Brush or brush-and-grass mix
19-0006763-000,10/17/2019,11:30:12,"Sangamon DR CH/CENTE 150 Outside rubbish fire, Other"
16-0005918-000,10/06/2016,18:17:35,Sangamon DR CH/CENTE 142 Brush or brush-and-grass mix
18-0003430-000,05/25/2018,10:12:00,S Second ST CH/Allen 130 Mobile property (vehicle) fi
19-0003784-000,06/15/2019,17:18:11,"Sherwood TER CH 150 Outside rubbish fire, Other"
17-0003826-000,07/02/2017,02:44:12,S Sixth ST CH/Fire Ha 154 Dumpster or other outside tr
20-0002250-000,04/06/2020,15:06:52,"Southwest DR CH 150 Outside rubbish fire, Other"
17-0002849-000,05/17/2017,23:37:55,Southwood DR CH/Cham 142 Brush or brush-and-grass mix
16-0002785-000,05/15/2016,20:05:48,"E Springfield AVE CH/VI 151 Outside rubbish, trash or wa"
20-0003371-000,06/02/2020,14:37:16,"E Springfield AVE CH/VI 150 Outside rubbish fire, Other"
19-0000962-000,02/09/2019,13:20:33,"E Springfield AVE CH/VI 151 Outside rubbish, trash or wa"
16-0003971-000,07/12/2016,21:42:21,E Springfield AVE CH 154 Dumpster or other outside tr
20-0004861-000,08/05/2020,08:53:08,E Springfield AVE CH/ 154 Dumpster or other outside tr
18-0004429-000,07/12/2018,12:02:15,"E Springfield AVE CH/ 151 Outside rubbish, trash or wa"
16-0003973-000,07/12/2016,21:59:40,W Springfield AVE CH/ 154 Dumpster or other outside tr
16-0001897-000,04/02/2016,15:45:39,W Springfield AVE CH 154 Dumpster or other outside tr
16-0003847-000,07/06/2016,22:15:16,W Springfield AVE CH/ 154 Dumpster or other outside tr
16-0003974-000,07/12/2016,22:05:12,W Springfield AVE CH/ 154 Dumpster or other outside tr
19-0006823-000,10/19/2019,17:24:15,"W Springfield AVE CH 151 Outside rubbish, trash or wa"
16-0005201-000,09/07/2016,11:02:48,W Springfield AVE CH 132 Road freight or transport ve
18-0003344-000,05/21/2018,14:59:25,W Springfield AVE CH 131 Passenger vehicle fire
18-0000146-000,01/05/2018,11:04:13,W Springfield AVE CH 131 Passenger vehicle fire
18-0003264-000,05/17/2018,15:08:51,"W Springfield AVE CH 151 Outside rubbish, trash or wa"
18-0002560-000,04/19/2018,16:15:15,W Springfield AVE CH 154 Dumpster or other outside tr
17-0002752-000,05/14/2017,01:39:02,W Springfield AVE CH 154 Dumpster or other outside tr
20-0006520-000,10/10/2020,11:09:40,W Springfield AVE CH 131 Passenger vehicle fire
20-0007934-000,12/05/2020,14:42:13,W Springfield AVE CH 154 Dumpster or other outside tr
17-0002725-000,05/13/2017,01:47:59,"W Springfield AVE CH 150 Outside rubbish fire, Other"
18-0006437-000,10/07/2018,01:44:18,W Springfield AVE CH 154 Dumpster or other outside tr
17-0000281-000,01/12/2017,18:24:32,"W Springfield AVE CH 150 Outside rubbish fire, Other"
17-0003880-000,07/04/2017,23:07:35,Stanley LN CH 154 Dumpster or other outside tr
20-0001728-000,03/12/2020,09:37:31,"N State ST CH 151 Outside rubbish, trash or wa"
20-0006552-000,10/11/2020,12:47:35,Stonebridge CT CH/Ch 142 Brush or brush-and-grass mix
17-0007680-000,12/15/2017,03:26:23,Stoneway CT CH/Champ 131 Passenger vehicle fire
17-0003576-000,06/20/2017,03:40:05,Stoneway CT CH/Champ 131 Passenger vehicle fire
17-0003361-000,06/10/2017,12:48:22,"Stoughton ST CH/Plann 140 Natural vegetation fire, Oth"
17-0003362-000,06/10/2017,13:27:43,"Stoughton ST CH/Plann 140 Natural vegetation fire, Oth"
16-0006014-000,10/11/2016,16:27:05,"Stoughton ST CH 140 Natural vegetation fire, Oth"
18-0007268-000,11/11/2018,14:49:12,Stoughton ST CH 154 Dumpster or other outside tr
18-0007267-000,11/11/2018,14:25:08,"Summerhill LN CH/Cha 151 Outside rubbish, trash or wa"
17-0000824-001,02/10/2017,04:39:00,Swigart ST CH/Champai 131 Passenger vehicle fire
18-0005142-000,08/15/2018,21:44:34,"Tawney CT CH 151 Outside rubbish, trash or wa"
20-0003874-000,06/25/2020,19:45:02,N Third ST CH/WESLEY 154 Dumpster or other outside tr
20-0002866-000,05/10/2020,05:20:13,N Third ST CH 131 Passenger vehicle fire
20-0003821-000,06/23/2020,11:56:02,N Third ST CH 142 Brush or brush-and-grass mix
20-0000343-000,01/17/2020,07:32:12,N Third ST CH/Oakwoo 131 Passenger vehicle fire
16-0001110-000,02/23/2016,12:50:15,S Third ST CH 154 Dumpster or other outside tr
17-0002442-000,04/30/2017,04:24:14,"S Third ST CH 150 Outside rubbish fire, Other"
17-0002354-000,04/25/2017,16:46:36,"Town Center BLVD CH/C 140 Natural vegetation fire, Oth"
18-0002140-000,03/31/2018,19:20:00,Town Center BLVD CH/A 131 Passenger vehicle fire
16-0003632-000,06/26/2016,13:44:10,"Town Center BLVD CH/C 140 Natural vegetation fire, Oth"
20-0001278-000,02/24/2020,09:18:21,Town Center BLVD CH 131 Passenger vehicle fire
19-0003781-000,06/15/2019,16:33:03,Town Center BLVD CH/D 131 Passenger vehicle fire
18-0002898-000,05/02/2018,15:15:17,Town Center BLVD CH 142 Brush or brush-and-grass mix
16-0002353-000,04/24/2016,15:17:22,"Town Center BLVD CH/J 140 Natural vegetation fire, Oth"
18-0005314-000,08/22/2018,18:07:13,Town Center BLVD CH/C 142 Brush or brush-and-grass mix
20-0005391-000,08/25/2020,16:26:24,Town Center BLVD CH 142 Brush or brush-and-grass mix
19-0005971-000,09/16/2019,16:47:43,Town Center BLVD CH/B 131 Passenger vehicle fire
17-0002748-000,05/13/2017,21:39:52,Trade Center DR CH/Wo 154 Dumpster or other outside tr
16-0001929-000,04/03/2016,22:06:05,Trade Center DR CH/Ha 142 Brush or brush-and-grass mix
18-0004566-000,07/18/2018,10:04:19,"W Tremont ST CH 151 Outside rubbish, trash or wa"
17-0003962-000,07/08/2017,21:10:29,W Tremont ST CH/Champ 131 Passenger vehicle fire
17-0003878-000,07/04/2017,21:04:44,Union ST CH 154 Dumpster or other outside tr
17-0003340-000,06/09/2017,12:38:57,"E University AVE CH/Ch 150 Outside rubbish fire, Other"
18-0002851-000,05/01/2018,12:04:30,E University AVE CH/L 142 Brush or brush-and-grass mix
18-0002890-000,05/02/2018,12:32:06,"W University AVE CH/C 140 Natural vegetation fire, Oth"
16-0003975-000,07/12/2016,22:17:24,W University AVE CH/S 154 Dumpster or other outside tr
16-0003760-000,07/02/2016,17:33:15,W University AVE CH/P 154 Dumpster or other outside tr
16-0006463-000,10/31/2016,07:13:42,"Valley RD CH/Hessel 151 Outside rubbish, trash or wa"
18-0005901-000,09/15/2018,16:52:53,"Valley RD CH/Hessel 150 Outside rubbish fire, Other"
17-0002326-000,04/24/2017,14:44:57,Valley RD CH 142 Brush or brush-and-grass mix
16-0002193-000,04/17/2016,12:29:20,"Valley RD CH 140 Natural vegetation fire, Oth"
18-0004160-000,06/29/2018,15:52:06,E Vine ST CH 130 Mobile property (vehicle) fi
16-0004108-000,07/18/2016,22:51:26,"E Vine ST CH/Champaig 150 Outside rubbish fire, Other"
16-0006797-000,11/13/2016,07:17:23,"W Vine ST CH 150 Outside rubbish fire, Other"
17-0005176-000,09/01/2017,08:56:29,"W Vine ST CH 151 Outside rubbish, trash or wa"
18-0005050-000,08/11/2018,19:34:13,"W Vine ST CH/Champai 151 Outside rubbish, trash or wa"
18-0005050-001,08/11/2018,19:34:13,"W Vine ST CH/Champai 151 Outside rubbish, trash or wa"
18-0007123-000,11/05/2018,02:10:50,"N Walnut ST CH/Radio 151 Outside rubbish, trash or wa"
18-0005361-000,08/24/2018,13:14:04,"N Walnut ST CH 151 Outside rubbish, trash or wa"
18-0004850-000,08/02/2018,18:07:47,"N Walnut ST CH 151 Outside rubbish, trash or wa"
20-0002605-000,04/26/2020,14:42:47,"N Walnut ST CH 151 Outside rubbish, trash or wa"
16-0001968-000,04/06/2016,05:59:54,"N Walnut ST CH 150 Outside rubbish fire, Other"
20-0004425-000,07/17/2020,20:40:27,"N Walnut ST CH 151 Outside rubbish, trash or wa"
20-0002269-000,04/07/2020,18:24:30,"N Walnut ST CH 150 Outside rubbish fire, Other"
19-0007919-001,11/30/2019,07:17:04,E Washington ST CH/13 131 Passenger vehicle fire
19-0007919-000,11/30/2019,07:17:04,E Washington ST CH/13 131 Passenger vehicle fire
18-0002338-000,04/09/2018,09:12:27,"E Washington ST CH 151 Outside rubbish, trash or wa"
19-0003619-000,06/08/2019,05:25:17,"E Washington ST CH 151 Outside rubbish, trash or wa"
19-0006278-000,09/27/2019,19:19:40,"E Washington ST CH 151 Outside rubbish, trash or wa"
18-0003004-000,05/07/2018,08:15:54,"E Washington ST CH 151 Outside rubbish, trash or wa"
18-0003021-000,05/08/2018,08:21:42,"E Washington ST CH 151 Outside rubbish, trash or wa"
17-0002850-000,05/18/2017,00:08:34,W Washington ST CH/Wa 142 Brush or brush-and-grass mix
18-0002282-000,04/06/2018,16:38:22,W Washington ST CH 154 Dumpster or other outside tr
20-0006837-000,10/22/2020,17:00:00,"W Washington ST CH/C 151 Outside rubbish, trash or wa"
20-0002639-000,04/28/2020,12:34:16,Waterview WAY CH/WATE 155 Outside stationary compactor
20-0002702-000,05/01/2020,15:08:26,E White ST CH/Champai 154 Dumpster or other outside tr
16-0006634-000,11/07/2016,12:19:13,"E White ST CH 140 Natural vegetation fire, Oth"
17-0004852-000,08/18/2017,16:21:52,"E White ST CH/605 E. 140 Natural vegetation fire, Oth"
17-0003405-000,06/11/2017,22:52:25,W White ST CH 154 Dumpster or other outside tr
16-0003811-000,07/05/2016,07:05:46,Williamsburg DR CH/C 131 Passenger vehicle fire
18-0007949-000,12/12/2018,00:09:57,N Willis AVE CH/Cham 131 Passenger vehicle fire
17-0002152-000,04/17/2017,09:56:27,Winding LN CH 142 Brush or brush-and-grass mix
17-0003155-000,05/31/2017,12:56:28,"W Windsor RD CH/Sun 140 Natural vegetation fire, Oth"
20-0002746-000,05/03/2020,13:50:38,"W Windsor RD CH/Cham 151 Outside rubbish, trash or wa"
18-0002047-000,03/27/2018,20:04:22,W Windsor RD CH/New 131 Passenger vehicle fire
16-0004731-000,08/17/2016,16:31:34,S Wright ST CH 154 Dumpster or other outside tr
17-0002610-000,05/07/2017,12:15:46,Wynstone DR CH/Champ 142 Brush or brush-and-grass mix
16-0000146-000,01/09/2016,01:06:35,Yalow DR 131 Passenger vehicle fire
16-0004856-000,08/22/2016,16:52:11,"York DR CH/Champaign 151 Outside rubbish, trash or wa"
20-0004340-000,07/14/2020,11:36:50,Anthony DR CH & N Marke 142 Brush or brush-and-grass mix
20-0004086-000,07/04/2020,22:16:06,"RD CH & N Dun 150 Outside rubbish fire, Other"
17-0000047-000,01/03/2017,08:44:44,RD CH & Sunse 132 Road freight or transport ve
17-0006281-000,10/17/2017,14:23:14,"Bradley AVE CH & N Four 150 Outside rubbish fire, Other"
17-0004054-000,07/12/2017,13:38:18,Bradley AVE CH & Harris 131 Passenger vehicle fire
16-0005854-000,10/03/2016,14:37:48,"DR CH & W John 151 Outside rubbish, trash or wa"
18-0004285-000,07/04/2018,23:26:46,"ST CH & E Beard 140 Natural vegetation fire, Oth"
16-0003157-000,06/03/2016,18:51:03,RD CH & Hundman DR 131 Passenger vehicle fire
17-0007412-000,12/04/2017,08:42:38,"BLVD CH & Highvie 151 Outside rubbish, trash or wa"
20-0004746-000,07/31/2020,06:04:25,Columbia AVE CH & N Pra 131 Passenger vehicle fire
19-0000252-000,01/11/2019,21:26:21,"DR CH & Ventura 140 Natural vegetation fire, Oth"
18-0002961-000,05/05/2018,08:53:10,Country Fair DR CH & Sp 131 Passenger vehicle fire
16-0004704-000,08/16/2016,17:11:21,Country Fair DR CH & W 131 Passenger vehicle fire
17-0007969-000,12/29/2017,19:40:59,DR CH & Greendal 131 Passenger vehicle fire
19-0004251-000,07/06/2019,09:10:36,DR CH & Bloomingt 131 Passenger vehicle fire
19-0008133-000,12/09/2019,10:25:59,DR CH & S Pros 131 Passenger vehicle fire
17-0000165-000,01/08/2017,07:59:48,DR CH & S Pros 131 Passenger vehicle fire
18-0006245-000,09/29/2018,14:44:34,Fifth ST CH & E Univers 131 Passenger vehicle fire
16-0006941-000,11/19/2016,15:03:04,First ST CH & E Kirby A 154 Dumpster or other outside tr
19-0006677-000,10/13/2019,12:37:00,First ST CH & E Windsor 131 Passenger vehicle fire
18-0002855-000,05/01/2018,13:13:12,Green ST CH & S Wright 154 Dumpster or other outside tr
16-0000816-000,02/08/2016,22:13:12,"ST CH & Bellefont 150 Outside rubbish fire, Other"
18-0001294-000,02/21/2018,15:16:16,INST CH & W Curtis R 131 Passenger vehicle fire
19-0004658-000,07/25/2019,16:07:29,INST CH & I-74 INST 131 Passenger vehicle fire
19-0000249-000,01/11/2019,19:34:26,I-57 MM 236 INST CH & 142 Brush or brush-and-grass mix
18-0000832-000,02/02/2018,12:38:05,I-57 MM 237 INST CH & 131 Passenger vehicle fire
16-0005704-000,09/28/2016,01:58:58,I-57 MM 238 INST CH & 131 Passenger vehicle fire
18-0007131-000,11/05/2018,14:50:11,I-74 MM 180 INST CH & 131 Passenger vehicle fire
18-0008175-000,12/22/2018,21:53:57,I-74 MM 181 INST CH & 143 Grass fire
17-0007103-000,11/20/2017,10:28:27,I-74 MM 182 INST CH & 142 Brush or brush-and-grass mix
17-0003844-000,07/02/2017,23:51:24,John ST CH & Goldenview 154 Dumpster or other outside tr
19-0003490-000,06/02/2019,12:22:45,CT CH & Karen CT C 154 Dumpster or other outside tr
16-0006958-000,11/20/2016,11:36:35,"ST CH & N McKinley 151 Outside rubbish, trash or wa"
19-0003941-000,06/24/2019,00:16:37,"Market ST CH & Lemon Tr 151 Outside rubbish, trash or wa"
18-0004709-000,07/25/2018,21:23:27,Marketview DR CH & More 131 Passenger vehicle fire
18-0002849-000,05/01/2018,11:28:02,Mattis AVE CH & W Unive 142 Brush or brush-and-grass mix
16-0002374-000,04/25/2016,13:56:05,Mattis AVE CH & W Kirby 131 Passenger vehicle fire
20-0001270-000,02/24/2020,01:46:21,Neil ST CH & Center DR 131 Passenger vehicle fire
20-0000321-000,01/15/2020,16:12:00,Neil ST CH & W Columbia 131 Passenger vehicle fire
17-0004118-000,07/15/2017,04:33:27,"Oak ST CH & Chalmers ST 151 Outside rubbish, trash or wa"
19-0000680-000,01/29/2019,22:32:13,Olympian DR CH & N Mark 131 Passenger vehicle fire
20-0002116-000,03/31/2020,19:30:17,Olympian DR CH & N Pros 142 Brush or brush-and-grass mix
16-0000969-000,02/16/2016,15:49:51,ST CH & W Healey ST 131 Passenger vehicle fire
16-0003759-000,07/02/2016,17:29:34,Randolph ST CH & W Univ 154 Dumpster or other outside tr
20-0007309-000,11/10/2020,10:39:29,Second ST CH & E Univer 142 Brush or brush-and-grass mix
19-0003380-000,05/28/2019,22:52:51,Second ST CH & E John S 154 Dumpster or other outside tr
18-0004843-000,08/02/2018,11:52:31,Second ST CH & E White 154 Dumpster or other outside tr
19-0006824-000,10/19/2019,18:02:22,"Sixth ST CH & E Columbi 151 Outside rubbish, trash or wa"
17-0003321-000,06/08/2017,11:52:52,Springfield AVE CH & S 142 Brush or brush-and-grass mix
16-0004385-000,08/01/2016,23:54:52,Springfield AVE CH & Lo 153 Construction or demolition l
18-0004796-000,07/30/2018,19:38:55,Staley RD CH & W Bradle 131 Passenger vehicle fire
16-0000510-000,01/26/2016,11:22:58,"State ST CH & W Beardsl 151 Outside rubbish, trash or wa"
16-0005921-000,10/07/2016,01:50:54,"State ST CH & W Park AV 151 Outside rubbish, trash or wa"
18-0000816-000,02/01/2018,18:00:16,University AVE CH & N M 131 Passenger vehicle fire
17-0005898-000,10/01/2017,03:27:07,University AVE CH & N P 142 Brush or brush-and-grass mix
19-0004915-000,08/06/2019,06:22:27,"Brook DR CH & S Du 140 Natural vegetation fire, Oth"
16-0007462-000,12/12/2016,20:55:05,Washington ST CH & N Ma 154 Dumpster or other outside tr
17-0007370-000,12/02/2017,13:03:29,AVE CH & Charles 131 Passenger vehicle fire
20-0006959-000,10/28/2020,08:00:43,White ST CH & S State S 131 Passenger vehicle fire
16-0007103-000,11/26/2016,21:46:16,"Windsor RD CH & S Matti 140 Natural vegetation fire, Oth"
19-0003944-000,06/24/2019,01:17:04,Wright ST CH & E Vine S 131 Passenger vehicle fire
16-0005379-000,09/13/2016,19:00:03,"Wright ST CH & E Armory 151 Outside rubbish, trash or wa"
16-0005207-000,09/07/2016,13:50:02,Wright ST CH & E Daniel 154 Dumpster or other outside tr
17-0001035-000,02/20/2017,14:09:21,Wright ST CH & E Daniel 154 Dumpster or other outside tr
19-0003682-000,06/11/2019,12:02:08,Wright ST CH & E Green 154 Dumpster or other outside tr
16-0007239-000,12/03/2016,15:07:15,"Branch DR CH/Champai 150 Outside rubbish fire, Other"
17-0007417-000,12/04/2017,10:07:07,"Brookshire East CH/C 150 Outside rubbish fire, Other"
16-0007682-000,12/20/2016,08:19:02,"I-72 MM 181 INST CH/Ch 151 Outside rubbish, trash or wa"
18-0004084-000,06/25/2018,18:53:51,"Karen CT CH/2/Champa 151 Outside rubbish, trash or wa"
19-0004855-000,08/03/2019,18:41:37,"S Russell ST CH/h/Cha 151 Outside rubbish, trash or wa"
20-0007499-000,11/17/2020,16:21:46,"W Windsor RD CH/Cham 151 Outside rubbish, trash or wa"
20-0007535-000,11/19/2020,12:19:09,Duncan RD CH & W Curtis 143 Grass fire
18-0003542-000,05/30/2018,17:46:01,I-74 MM 182 INST CH/Ur 132 Road freight or transport ve
17-0005635-000,09/20/2017,22:45:06,I-74 MM 183 INST CH & 132 Road freight or transport ve
20-0001945-000,03/22/2020,21:46:39,W Anthony DR CH/Kemp 162 Outside equipment fire
